ticker,name,industry,mcap,tier,quality,growth,structural,revision,valuation,rerating,score100,px,vs200,vs_hi2y,yoy3,accel,rev12m_g,eps4,eps_g,q_eps_yoy,roe,roic,gm_now,gm_chg,gm_5y_med,opm_chg,fcf_margin,ocf_ni,capex_g,capex_rev,nd_ebitda,cap_chg,pe,pe_pct5y,pe_p25,pe_p50,pe_p75,forward_pe,peg,eps_annual,eps_5y_med,cyclical_sector,cycle_peak_risk,normalized_eps,normalized_pe,gm_jump,eps_fy1,eps_fy2,eps_fy3,eps_source,eps_confidence,eps_cagr_3y,eps_rev_1m,eps_rev_3m,rev_source,analyst_up,analyst_down,next_platform_score,new_capacity_score,new_product_mix,order_visibility,tam_score,structural_score,structural_source,quali_filled,evidence_ok,sources,rerating_bm,rerating_nm,rerating_room,rerating_score,required_pe_for_2x,double_verdict,bear_target,base_target,bull_target,bear_upside,base_upside,bull_upside,down_up_ratio,scenario_source,reward_risk,doublebagger_base,doublebagger_bull,refresh_priority,refresh_reason,horizon_complete,gpt_action,evidence_count,fresh_evidence_count,avg_confidence,stale_ratio,evidence_coverage,why,risk,action_signal,signal_reason,held,holding_note,thesis_status,thesis_note
3231,緯創,電腦及週邊,4659.0,WATCH,13,16,4,5,9,2,49,197.0,35.4,-0.5,51.3,-84.4,100.0,12.75,73.0,114.5,22.2,15.3,6.0,-1.2,6.9,0.2,-25.6,-13.79,130.3,3.3,2.73,9.8,15.7,41.0,11.0,17.1,20.9,11.2,0.5,"{""2021"": 3.76, ""2022"": 4.01, ""2023"": 4.07, ""2024"": 6.11, ""2025"": 9.02}",4.07,False,False,4.07,48.4,-0.9,17.61,20.96,23.35,proxy:raw62%→g1=38%衰減,proxy,22.4,41.5,-84.4,proxy,,,0,4,0,0,0,4,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,2,2,16.9,合理(≤PE中位)(proxy EPS),193.0,399.0,561.0,-2.0,103.0,185.0,0.02,auto,9.9,True,True,8,無證據帳本,False,,,,,,,營收+51%、ROE22%、翻倍PE合理,現金流背離、待質化,WATCH,分數<65,False,,,
6781,AES-KY,電子零組件,974.0,WATCH,23,9,3,7,5,2,49,1080.0,-5.1,-26.8,26.8,5.8,31.6,42.29,23.9,32.6,21.3,43.5,36.0,-2.7,37.4,-1.3,48.7,2.63,26.6,9.4,-1.8,0.0,26.4,34.0,23.4,29.7,36.7,21.1,1.69,"{""2021"": 30.56, ""2022"": 37.68, ""2023"": 23.04, ""2024"": 25.39, ""2025"": 38.2}",30.56,False,False,30.56,35.3,-1.4,51.19,56.57,60.15,proxy:raw25%→g1=21%衰減,proxy,12.5,8.7,5.8,proxy,,,0,3,0,0,0,3,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,2,2,35.9,合理(≤PE p75)(proxy EPS),1056.0,1786.0,2539.0,-2.0,65.0,135.0,0.03,auto,9.9,False,True,8,無證據帳本,False,,,,,,,ROE21%、FCF49%、翻倍PE合理,待質化,WATCH,分數<65,False,,,
2441,超豐,半導體,530.0,WATCH,19,12,3,10,5,0,49,118.0,18.1,-16.5,31.9,16.4,19.0,5.41,32.9,89.2,12.3,12.8,21.5,0.1,23.2,-0.0,28.8,4.85,34.6,39.3,-0.66,0.0,21.5,92.0,10.2,14.3,17.9,17.4,1.14,"{""2021"": 8.1, ""2022"": 5.55, ""2023"": 3.51, ""2024"": 4.39, ""2025"": 4.31}",4.39,False,False,4.39,26.9,-1.7,6.8,7.67,8.26,proxy:raw32%→g1=26%衰減,proxy,15.2,56.3,16.4,proxy,,,0,3,0,0,0,3,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,0,0,28.6,淘汰(PE不合理)(proxy EPS),63.0,118.0,170.0,-46.0,0.0,44.0,464.5,auto,0.0,False,False,8,無證據帳本,False,,,,,,,營收+32%、加速+16pp、FCF29%,PE位階92%、翻倍需PE過高、待質化,WATCH,分數<65、Base<20%,False,,,
2382,廣達,電腦及週邊,13356.0,WATCH,16,10,1.5,10,9,2,48.5,347.5,15.1,-13.1,109.5,25.4,71.0,22.94,28.4,70.0,39.0,20.4,5.7,-1.7,6.6,-0.9,-1.1,-0.36,59.2,1.8,1.11,0.0,15.0,41.0,10.6,15.9,20.9,10.8,0.47,"{""2021"": 8.73, ""2022"": 7.51, ""2023"": 10.29, ""2024"": 15.49, ""2025"": 19.44}",10.29,False,False,10.29,33.8,-0.9,32.03,38.38,42.94,proxy:raw69%→g1=40%衰減,proxy,23.2,41.6,25.4,proxy,,,0,1.5,0,0,0,1.5,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,2,2,16.2,合理(≤PE p75)(proxy EPS),341.0,683.0,1032.0,-2.0,96.0,197.0,0.02,auto,9.9,False,True,8,無證據帳本,False,,,,,,,營收+110%、加速+25pp、ROE39%、翻倍PE合理,現金流背離、待質化,WATCH,分數<65,False,,,
3406,玉晶光,光電,581.0,WATCH,22,15,2.5,6,3,0,48.5,987.0,87.6,-6.4,12.1,-2.6,15.5,36.96,24.4,185.9,16.1,27.0,33.8,2.6,35.4,3.7,43.4,4.9,11.7,17.0,-0.7,0.0,28.5,100.0,13.0,14.9,17.6,23.1,2.48,"{""2021"": 20.52, ""2022"": 29.05, ""2023"": 27.25, ""2024"": 38.36, ""2025"": 32.84}",29.05,False,False,29.05,34.0,-1.6,42.77,46.14,48.32,proxy:raw18%→g1=16%衰減,proxy,9.3,161.5,-2.6,proxy,,,0,1.5,1,0,0,2.5,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,0,0,40.9,淘汰(PE不合理)(proxy EPS),471.0,720.0,978.0,-52.0,-27.0,-1.0,,auto,0.0,False,False,8,無證據帳本,False,,,,,,,FCF43%,PE位階100%、翻倍需PE過高、待質化,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,False,,,
3443,創意,半導體,6640.0,WATCH,22,12,4,10,0,0,48,5935.0,68.1,-3.1,131.4,47.9,98.8,39.01,44.3,98.8,39.7,135.5,23.0,-9.6,31.9,-3.3,5.7,1.68,173.6,5.1,-1.32,0.0,148.9,98.0,41.8,48.9,56.9,106.8,4.31,"{""2021"": 10.9, ""2022"": 27.69, ""2023"": 26.18, ""2024"": 25.75, ""2025"": 28.13}",26.18,False,False,26.18,226.7,-8.9,55.55,67.33,75.89,proxy:raw88%→g1=42%衰減,proxy,24.8,54.5,47.9,proxy,,,0,4,0,0,0,4,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,0,0,156.4,淘汰(PE不合理)(proxy EPS),2379.0,3711.0,4966.0,-60.0,-37.0,-16.0,,auto,0.0,False,False,8,無證據帳本,False,,,,,,,營收+131%、加速+48pp、ROE40%,PE位階98%、翻倍需PE過高、待質化,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,False,,,
6579,研揚,電腦及週邊,228.0,WATCH,10,17,3,5,10,3,48,152.0,16.2,-17.2,41.4,26.7,30.7,9.87,129.5,,12.3,7.9,33.7,-1.3,34.0,1.0,-13.4,0.57,29.8,2.3,-1.05,5.6,20.6,27.0,19.8,25.2,28.1,10.9,0.45,"{""2021"": 4.23, ""2022"": 10.03, ""2023"": 8.44, ""2024"": 7.98, ""2025"": 5.62}",7.98,False,False,7.98,19.0,-0.3,13.97,16.88,18.98,proxy:raw81%→g1=42%衰減,proxy,24.4,,26.7,proxy,,,0,3,0,0,0,3,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,3,3,16.0,合理(≤PE中位)(proxy EPS),282.0,478.0,613.0,85.0,215.0,304.0,,auto,9.9,True,True,8,無證據帳本,False,,,,,,,營收+41%、加速+27pp、翻倍PE合理,待質化,WATCH,分數<65,False,,,
6672,騰輝電子-KY,電子零組件,153.0,WATCH,14,15,5,10,4,0,48,299.5,77.3,-4.9,97.4,62.5,38.0,7.25,74.3,138.7,14.0,14.0,33.7,1.1,32.2,5.4,0.4,2.78,146.7,16.5,-1.04,14.3,43.7,98.0,11.7,14.2,16.1,29.0,1.17,"{""2021"": 11.73, ""2022"": 6.61, ""2023"": 6.07, ""2024"": 5.01, ""2025"": 4.85}",6.07,False,False,6.07,49.3,1.5,10.31,12.48,14.06,proxy:raw86%→g1=42%衰減,proxy,24.7,64.4,62.5,proxy,,,0,4,1,0,0,5,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,0,0,42.6,淘汰(PE不合理)(proxy EPS),123.0,200.0,260.0,-59.0,-33.0,-13.0,,auto,0.0,False,False,8,無證據帳本,False,,,,,,,營收+97%、加速+62pp,PE位階98%、股本+14%、翻倍需PE過高、待質化,REDUCE,Base<20% 且 PE 位階≥95%、分數<60,False,,,
3533,嘉澤,電子零組件,3061.0,WATCH,23,7,3,8,5,1,47,1695.0,-7.8,-39.5,14.9,0.4,13.3,82.29,15.7,164.3,23.7,29.4,49.4,-2.6,46.5,-5.2,24.7,2.86,37.9,36.2,-0.79,1.0,20.5,56.0,16.4,19.7,24.6,18.2,2.3,"{""2021"": 33.32, ""2022"": 58.68, ""2023"": 50.58, ""2024"": 82.77, ""2025"": 70.15}",58.68,False,False,58.68,28.9,2.9,93.28,99.51,103.5,proxy:raw15%→g1=13%衰減,proxy,7.9,148.6,0.4,proxy,,,0,3,0,0,0,3,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,1,1,32.8,淘汰(PE不合理)(proxy EPS),1273.0,2039.0,2928.0,-25.0,20.0,73.0,1.23,auto,0.82,False,False,8,無證據帳本,False,,,,,,,ROE24%、FCF25%,翻倍需PE過高、待質化,WATCH,分數<65,False,,,
5522,遠雄,建材營造,540.0,WATCH,11,16,2,5,10,3,47,63.3,-1.0,-16.6,964.8,304.8,225.1,10.02,441.6,,16.4,10.7,34.9,7.7,32.5,32.8,-3.8,-1.65,-33.3,0.1,2.53,0.0,6.4,5.0,8.3,10.9,15.1,4.4,0.17,"{""2021"": 7.78, ""2022"": 7.04, ""2023"": 4.76, ""2024"": 4.32, ""2025"": 7.45}",7.04,False,False,7.04,9.0,2.4,14.53,17.8,20.2,proxy:raw542%→g1=45%衰減,proxy,26.3,,304.8,proxy,,,0,0,2,0,0,2,"platform:none,capacity:proxy,mix:proxy,visibility:none,tam:none",0,False,,0,0,3,3,6.3,合理(≤PE中位)(proxy EPS),97.0,220.0,351.0,53.0,248.0,454.0,,auto,9.9,True,True,8,無證據帳本,False,,,,,,,營收+965%、加速+305pp、翻倍PE合理,現金流背離、待質化,WATCH,分數<65,False,,,
