ticker,name,industry,mcap,score60,why,yoy3,accel,rev12m_g,roe,eps_g,gm_now,gm_chg,cap_chg,pe,pe_pct5y,peg,px,vs200,vs_hi2y
2605,新興,航運,207.8004224,47,EPS+400%、毛利率↑、PEG0.0,34.5,-4.4,26.9,12.4,400.0,39.7,20.8,0.0,7.3,1.0,0.02,35.849998474121094,16.4,-14.4
2345,智邦,通信網路,13888.86491136,46,EPS+105%、PEG0.3、PE位階73%高,63.1,2.8,77.0,22.1,105.1,18.6,-1.1,0.1,33.0,73.0,0.31,2100.0,17.3,-23.0
3665,貿聯-KY,其他電子,5351.65206528,46,營收加速+32pp、EPS+58%、毛利率↑、PEG0.7、PE位階90%高,59.1,31.8,39.7,12.7,57.5,31.2,1.3,19.4,39.4,90.0,0.69,2145.0,14.2,-26.4
2395,研華,電腦及週邊,3555.500032,46,營收加速+44pp、EPS+42%、PE位階100%高,64.4,43.5,29.8,16.9,42.1,38.9,-1.9,1.1,45.0,100.0,1.07,711.0,73.8,0.0
5234,達興材料,光電,424.73066496,46,營收加速+11pp、毛利率↑,17.3,11.1,11.4,17.1,29.3,41.7,2.7,0.0,35.0,63.0,1.19,293.0,-19.4,-36.6
6183,關貿,資訊服務,137.99999488,46,營收加速+11pp、毛利率↑,21.9,11.4,9.5,14.2,24.6,44.8,1.6,0.0,20.4,28.0,0.83,91.5999984741211,1.9,-10.6
3653,健策,電子零組件,6316.84726784,45,營收加速+52pp、EPS+46%、毛利率↑、PE位階99%高,62.1,51.7,32.6,22.2,46.3,42.2,1.6,4.2,132.6,99.0,2.86,5875.0,64.8,-1.9
3044,健鼎,電子零組件,2564.95730688,45,營收加速+27pp、毛利率↑、PEG0.7、PE位階94%高,48.4,27.0,25.1,12.2,31.2,27.2,2.5,0.0,20.9,94.0,0.67,488.5,23.1,-12.4
2472,立隆電,電子零組件,307.2310272,45,營收加速+26pp、EPS+50%、PEG0.5、PE位階94%高,34.1,26.0,13.0,12.2,49.7,31.9,0.3,0.0,22.9,94.0,0.46,225.0,15.9,-49.6
1232,大統益,食品,237.56288,45,營收加速+20pp、毛利率↑,22.6,19.5,8.0,15.1,16.4,13.7,0.9,0.0,17.4,12.0,1.06,157.0,9.2,-6.8
2303,聯電,半導體,11495.36436224,44,營收加速+13pp、EPS+111%、毛利率↑、PEG0.2、PE位階93%高,24.2,13.0,10.7,13.9,110.7,30.5,0.6,0.4,19.6,93.0,0.18,130.0,45.8,-25.9
2404,漢唐,其他電子,1858.6451968,44,EPS+76%、PEG0.2,66.6,-24.0,72.5,15.0,76.0,21.1,-1.6,0.0,16.1,70.0,0.21,1070.0,6.5,-20.3
3167,大量,電機機械,703.61612288,44,EPS+230%、毛利率↑、PEG0.2、PE位階71%高,137.6,9.6,108.5,13.3,229.7,42.0,7.8,8.5,56.3,71.0,0.25,803.0,56.1,-15.2
2421,建準,電子零組件,423.3392128,44,EPS+61%、毛利率↑、PEG0.3,21.7,8.5,22.9,14.5,60.9,31.8,2.1,4.9,19.1,48.0,0.31,178.0,21.7,-2.9
3017,奇鋐,電腦及週邊,9549.55399168,43,EPS+145%、毛利率↑、PEG0.3、PE位階95%高,61.4,-24.6,94.4,19.2,145.3,28.7,4.0,2.4,47.6,95.0,0.33,3570.0,69.2,0.0
6197,佳必琪,電子零組件,286.29143552,43,EPS+53%、毛利率↑、PEG0.5、PE位階91%高,28.6,8.8,20.7,17.0,52.8,35.4,2.5,0.0,26.6,91.0,0.5,315.0,44.4,-15.4
1419,新紡,紡織纖維,192.4093952,43,EPS+320%、PEG0.0,16.9,-15.4,19.1,16.1,319.9,25.6,-3.3,0.0,4.8,1.0,0.02,66.9000015258789,2.8,-13.8
5434,崇越,電子通路,817.5087616,42,營收加速+11pp、PEG0.5、PE位階97%高,31.4,11.0,17.9,12.1,38.2,13.3,0.5,2.8,20.1,97.0,0.53,538.0,36.1,-9.7
6901,鑽石投資,其他,111.72466688,42,營收加速+1818pp、EPS+999%,1626.6,1818.4,-195.5,29.1,999,,,0.4,,,,14.949999809265137,-6.9,-63.5
1476,儒鴻,紡織纖維,913.64245504,41,營收加速+15pp、毛利率↑,12.8,14.6,1.8,18.5,15.0,30.3,0.8,0.0,13.0,0.0,0.87,313.0,-11.2,-41.2
5007,三星,鋼鐵,171.95001856,41,營收加速+18pp、毛利率↑、PEG0.7,10.9,17.7,-3.5,12.3,24.3,26.1,1.6,0.0,15.9,43.0,0.65,56.400001525878906,2.4,-3.6
6525,捷敏-KY,半導體,132.91840512,41,營收加速+11pp、毛利率↑、PEG0.5、PE位階95%高,27.5,11.1,16.8,13.3,38.3,27.0,1.8,0.0,19.2,95.0,0.5,138.0,32.8,-37.6
6669,緯穎,電腦及週邊,9236.2866688,40,EPS+65%、PEG0.1,29.1,-19.9,74.3,14.2,64.6,8.2,-1.1,6.9,8.2,0.0,0.13,2565.0,65.3,-1.9
3443,創意,半導體,6640.2451456,40,營收加速+48pp、EPS+44%、PE位階98%高,131.4,47.9,98.8,16.1,44.3,23.0,-9.6,0.0,148.9,98.0,3.36,5810.0,65.5,-5.1
8996,高力,電機機械,1082.13854208,40,EPS+147%、PEG0.6、PE位階88%高,69.3,-41.1,114.3,16.1,146.8,26.7,-2.6,4.1,87.5,88.0,0.6,1300.0,37.9,-18.2
2455,全新,通信網路,643.4725888,40,營收加速+13pp、EPS+62%、PE位階99%高,46.6,13.0,34.5,15.0,61.6,36.7,-1.1,0.0,129.4,99.0,2.1,528.0,90.9,-2.6
4771,望隼,生技醫療,112.95903744,40,毛利率↑、PEG0.4,25.4,-3.6,25.6,13.6,34.3,41.4,1.5,2.1,13.7,3.0,0.4,208.5,14.3,-7.0
6781,AES-KY,電子零組件,973.77656832,39,,26.8,5.8,31.6,14.3,23.9,36.0,-2.7,0.0,26.4,34.0,1.1,1115.0,-2.2,-24.4
3030,德律,其他電子,975.57209088,38,EPS+54%、PEG0.4、PE位階76%高,23.5,-7.2,27.8,24.1,54.4,59.1,-0.1,0.0,21.5,76.0,0.4,284.0,8.7,-30.8
1560,中砂,電機機械,848.40194048,38,EPS+62%、毛利率↑、PE位階93%高,24.4,1.9,21.8,13.2,62.1,35.4,4.4,3.6,59.1,93.0,0.95,695.0,29.6,-9.0
8016,矽創,半導體,285.70898432,38,PEG0.4、PE位階73%高,33.6,8.1,20.9,12.6,38.5,31.4,-0.9,0.0,14.7,73.0,0.38,293.5,26.0,-19.1
3416,融程電,電腦及週邊,129.49552128,38,PEG0.7,33.1,-2.9,26.2,13.6,29.2,38.5,-1.8,2.8,20.0,55.0,0.68,172.5,14.7,-8.0
6515,穎崴,半導體,3650.6533888,37,營收加速+149pp、PE位階91%高,187.8,149.1,57.3,19.0,38.4,41.3,-5.4,4.8,115.8,91.0,3.02,7075.0,13.1,-34.0
5288,豐祥-KY,電機機械,108.77883392,37,營收加速+57pp、毛利率↑,64.3,56.7,15.7,13.4,8.4,23.0,0.8,4.5,12.6,51.0,1.5,189.0,22.3,-11.0
8464,億豐,代碼38,996.26868736,35,營收加速+10pp、毛利率↑,10.5,10.0,-0.1,17.9,1.1,59.2,0.8,0.0,16.3,30.0,14.82,373.5,3.2,-22.0
3563,牧德,光電,534.0731392,35,營收加速+21pp,27.7,21.0,16.0,15.6,25.3,59.1,-1.7,10.0,40.7,60.0,1.61,693.0,6.3,-26.3
1773,勝一,化學工業,526.50000384,34,營收加速+14pp、毛利率↑,27.5,14.5,11.9,13.8,10.5,36.4,3.7,20.0,20.3,40.0,1.93,162.5,4.9,-14.7
