ticker,name,held,tier,score100,action_signal,signal_reason,base_upside,reward_risk,eps_rev_1m,eps_rev_3m,pe_pct5y,thesis_status,holding_note
8131,福懋科,False,WATCH,55,WATCH,分數<65,77.0,7.17,,13.7,57.0,,
8110,華東,False,WATCH,55,WATCH,分數<65,656.0,9.9,,7.1,0.0,,
1232,大統益,False,WATCH,55,WATCH,分數<65,44.0,8.87,2.6,19.5,12.0,,
4771,望隼,False,WATCH,55,WATCH,分數<65,72.0,9.9,49.0,-3.6,3.0,,
2645,長榮航太,False,CYCLE,55,WATCH,分數<65、Base<20%、週期高峰,-34.0,0.0,101.0,7.9,34.0,,
2436,偉詮電,False,WATCH,54.5,WATCH,分數<65,491.0,9.9,0,3.7,1.0,,
3006,晶豪科,False,CYCLE,54.5,WATCH,分數<65、Base<20%、週期高峰,-93.0,0.0,,196.8,40.0,,
5607,遠雄港,False,CYCLE,54.5,WATCH,分數<65,98.0,9.9,-0.4,4.5,20.0,,
3711,日月光投控,False,WATCH,54,WATCH,分數<65、Base<20%,-27.0,0.0,99.7,18.3,91.0,,
1476,儒鴻,False,WATCH,54,WATCH,分數<65,113.0,9.9,143.4,14.6,0.0,,
6449,鈺邦,False,WATCH,54,WATCH,分數<65,28.0,1.14,73.7,4.5,73.0,,
3209,全科,False,WATCH,54,WATCH,分數<65,189.0,9.9,,39.9,11.0,,
2753,八方雲集,False,WATCH,54,WATCH,分數<65,97.0,9.9,-15.5,8.4,0.0,,
5288,豐祥-KY,False,WATCH,54,WATCH,分數<65,59.0,9.9,195.7,56.7,51.0,,
2451,創見,False,CYCLE,54,WATCH,分數<65、Base<20%、週期高峰,-68.0,0.0,0,-160.1,1.0,,
5007,三星,False,CYCLE,54,WATCH,分數<65,32.0,3.74,100.7,17.7,43.0,,
3702,大聯大,False,WATCH,53,WATCH,分數<65,212.0,9.9,124.5,76.3,21.0,,
6691,洋基工程,False,WATCH,53,WATCH,分數<65,76.0,4.32,54.2,52.7,54.0,,
9945,潤泰新,False,WATCH,53,WATCH,分數<65,219.0,9.9,243.4,7.7,0.0,,
1608,華榮,False,WATCH,53,WATCH,分數<65,719.0,9.9,0,5.7,1.0,,
6505,台塑化,False,CYCLE,53,WATCH,分數<65、Base<20%、週期高峰,-44.0,0.0,,18.0,2.0,,
3036,文曄,False,WATCH,52.5,WATCH,分數<65,212.0,9.9,127.8,69.7,29.0,,
6770,力積電,False,WATCH,52,WATCH,分數<65、Base<20%,11.0,0.19,,41.8,69.0,,
2404,漢唐,False,WATCH,52,WATCH,分數<65,52.0,5.32,92.8,-24.0,70.0,,
1773,勝一,False,WATCH,52,WATCH,分數<65,37.0,3.18,37.9,14.5,40.0,,
6861,睿生光電,False,WATCH,52,WATCH,分數<65,49.0,7.78,118.7,2.0,81.0,,
8112,至上,False,WATCH,51.5,WATCH,分數<65,323.0,9.9,0,144.5,15.0,,
2207,和泰車,False,WATCH,51,WATCH,分數<65,98.0,9.9,58.3,22.2,2.0,,
8021,尖點,False,WATCH,51,WATCH,分數<65、Base<20%,-56.0,0.0,84.6,29.9,84.0,,
